          ntotiter
              1000
             Niter        Best_route     Elite_average
               390           4.33982           4.33982
               391           4.33982           4.33982
               392           4.33982           4.33982
               393           4.33982           4.33982
               394           4.33982           4.33982
               395           4.33982           4.33982
               396           4.33982           4.33982
               397           4.33982           4.33982
               398           4.33982           4.33982
               399           4.33982           4.33982
               400           4.33982           4.33982
               401           4.33982           4.33982
               402           4.33982           4.33982
               403           4.33982           4.33982
               404           4.33982           4.33982
               405           4.33982           4.33982
               406           4.33982           4.33982
               407           4.33982           4.33982
               408           4.33982           4.33982
               409           4.33982           4.33982
               410           4.33982           4.33982
               411           4.33982           4.33982
               412           4.33982           4.33982
               413           4.33982           4.33982
               414           4.33982           4.33982
               415           4.33982           4.33982
               416           4.33982           4.33982
               417           4.33982           4.33982
               418           4.33982           4.33982
               419           4.33982           4.33982
               420           4.33982           4.33982
               421           4.33982           4.33982
               422           4.33982           4.33982
               423           4.33982           4.33982
               424           4.33982           4.33982
               425           4.33982           4.33982
               426           4.33982           4.33982
               427           4.33982           4.33982
               428           4.33982           4.33982
               429           4.33982           4.33982
               430           4.33982           4.33982
               431           4.33982           4.33982
               432           4.33982           4.33982
               433           4.33982           4.33982
               434           4.33982           4.33982
               435           4.33982           4.33982
               436           4.33982           4.33982
               437           4.33982           4.33982
               438           4.33982           4.33982
               439           4.33982           4.33982
               440           4.33982           4.33982
               441           4.33982           4.33982
               442           4.33982           4.33982
               443           4.33982           4.33982
               444           4.33982           4.33982
               445           4.33982           4.33982
               446           4.32543           4.33976
               447           4.32543           4.32543
               448           4.32543           4.32543
               449           4.32543           4.32543
               450           4.32543           4.32543
               451           4.32543           4.32543
               452           4.32543           4.32543
               453           4.32543           4.32543
               454           4.32543           4.32543
               455           4.32543           4.32543
               456           4.32543           4.32543
               457           4.32543           4.32543
               458           4.32543           4.32543
               459           4.32543           4.32543
               460           4.32543           4.32543
               461           4.32543           4.32543
               462           4.32543           4.32543
               463           4.32543           4.32543
               464           4.32543           4.32543
               465           4.32543           4.32543
               466           4.32543           4.32543
               467           4.32543           4.32543
               468           4.32543           4.32543
               469           4.32543           4.32543
               470           4.32543           4.32543
               471           4.32543           4.32543
               472           4.32543           4.32543
               473           4.32543           4.32543
               474           4.32543           4.32543
               475           4.32543           4.32543
               476           4.32543           4.32543
               477           4.32543           4.32543
               478           4.32543           4.32543
               479           4.32543           4.32543
               480           4.32543           4.32543
               481           4.32543           4.32543
               482           4.32543           4.32543
               483           4.32543           4.32543
               484           4.32543           4.32543
               485           4.32543           4.32543
               486           4.32543           4.32543
               487           4.32543           4.32543
               488           4.32543           4.32543
               489           4.32543           4.32543
               490           4.32543           4.32543
               491           4.32543           4.32543
               492           4.32543           4.32543
               493           4.32543           4.32543
               494           4.32543           4.32543
               495           4.32543           4.32543
               496           4.32543           4.32543
               497           4.32543           4.32543
               498           4.32543           4.32543
               499           4.32543           4.32543
               500           4.32543           4.32543
               501           4.32543           4.32543
               502           4.32543           4.32543
               503           4.32543           4.32543
               504           4.32543           4.32543
               505           4.32543           4.32543
               506           4.32543           4.32543
               507           4.32543           4.32543
               508           4.32543           4.32543
               509           4.32543           4.32543
               510           4.32543           4.32543
               511           4.32543           4.32543
               512           4.32543           4.32543
               513           4.32543           4.32543
               514           4.32543           4.32543
               515           4.32543           4.32543
               516           4.32543           4.32543
               517           4.32543           4.32543
               518           4.32543           4.32543
               519           4.32543           4.32543
               520           4.32543           4.32543
               521           4.32543           4.32543
               522           4.32543           4.32543
